epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.010736,0.012707,0.603379,0.505351,0.0,0.0,0.0,0.0,0.078216,0.165805,0.378474,0.0,0.0,0.0
1,0.001264,0.016201,0.710738,0.507585,0.0,0.0,0.0,0.0,0.092114,0.246283,0.594053,0.0,0.0,0.0
2,0.000984,0.021839,0.749106,0.515949,0.0,0.0,0.0,0.0,0.138009,0.370394,0.695217,0.0,0.0,0.0
3,0.000938,0.02523,0.766014,0.526643,0.0,0.0,0.0,0.0,0.262443,0.497091,0.735941,0.0,0.0,0.0
4,0.000886,0.028327,0.783305,0.54426,0.0,0.0,0.0,0.0,0.349709,0.540724,0.731739,0.0,0.0,0.0
5,0.000791,0.033926,0.802604,0.570266,0.0,0.0,0.0,0.0,0.463154,0.613122,0.75501,0.0,0.0,0.0
6,0.000678,0.048923,0.821353,0.618086,0.0,0.0,0.0,0.0,0.563672,0.68649,0.795087,0.0,0.0,0.0
7,0.000578,0.066113,0.831146,0.646107,0.0,0.0,0.0,0.0,0.612799,0.711377,0.825469,0.0,0.0,0.0
8,0.000527,0.074471,0.829146,0.649754,0.0,0.0,0.0,0.0,0.62799,0.714932,0.792825,0.0,0.0,0.0
9,0.00036,0.099643,0.851605,0.700739,0.0,0.0,0.0,0.0,0.700388,0.760827,0.829994,0.0,0.0,0.0
10,0.000244,0.12711,0.85689,0.758713,0.0,0.0,0.0,0.0,0.725598,0.767292,0.846477,0.0,0.0,0.0
11,0.000141,0.140525,0.857941,0.808138,0.0,0.0,0.0,0.0,0.750485,0.7883,0.858436,0.0,0.0,0.0
12,0.000127,0.142415,0.860653,0.827353,0.0,0.0,0.0,0.0,0.751131,0.783775,0.851002,0.0,0.0,0.0
13,0.00019,0.13817,0.858,0.783183,0.0,0.0,0.0,0.0,0.733355,0.768261,0.825792,0.0,0.0,0.0
14,9.6e-05,0.164139,0.868363,0.833529,0.0,0.0,0.0,0.0,0.757595,0.782805,0.867162,0.0,0.0,0.0
15,0.000134,0.140324,0.864323,0.736096,0.0,0.0,0.0,0.0,0.75501,0.789916,0.900452,0.0,0.0,0.0
16,5.5e-05,0.168404,0.874055,0.782351,0.0,0.0,0.0,0.0,0.772463,0.808662,0.913704,0.0,0.0,0.0
17,3.3e-05,0.181034,0.870844,0.825365,0.0,0.0,0.0,0.0,0.784421,0.809632,0.928248,0.0,0.0,0.0
18,2.6e-05,0.18838,0.869701,0.856377,0.0,0.0,0.0,0.0,0.820621,0.901745,0.984809,0.0,0.0,0.0
19,2.5e-05,0.194476,0.875008,0.863975,0.0,0.0,0.0,0.0,0.808662,0.887201,0.977376,0.0,0.0,0.0
20,3.4e-05,0.193086,0.870137,0.852446,0.0,0.0,0.0,0.0,0.809955,0.902715,0.984163,0.0,0.0,0.0
21,4.4e-05,0.176942,0.867455,0.82138,0.0,0.0,0.0,0.0,0.829024,0.908533,0.984486,0.0,0.0,0.0
22,2.6e-05,0.187366,0.871017,0.836648,0.0,0.0,0.0,0.0,0.81351,0.896574,0.982224,0.0,0.0,0.0
23,2.3e-05,0.199427,0.870712,0.865488,0.0,0.0,0.0,0.0,0.830317,0.926309,0.985456,0.0,0.0,0.0
24,1.9e-05,0.198987,0.869933,0.869117,0.0,0.0,0.0,0.0,0.83872,0.930187,0.990627,0.0,0.0,0.0
25,1.6e-05,0.208511,0.877181,0.884718,0.0,0.0,0.0,0.0,0.799935,0.861345,0.976406,0.0,0.0,0.0
26,2.4e-05,0.208149,0.878738,0.878275,0.0,0.0,0.0,0.0,0.801551,0.859729,0.973174,0.0,0.0,0.0
