epoch,train_conf_loss,val_conf_loss
0,0.438689,0.0
1,0.313994,0.0
2,0.283093,0.0
3,0.263034,0.0
4,0.249679,0.0
5,0.234407,0.0
6,0.22854,0.0
0,0.339902,0.0
1,0.23468,0.0
2,0.20255,0.0
3,0.180127,0.0
4,0.165976,0.0
5,0.150648,0.0
6,0.144642,0.0
7,0.139006,0.0
8,0.135226,0.0
9,0.131854,0.0
0,0.303551,0.0
1,0.217836,0.0
2,0.191394,0.0
3,0.17265,0.0
4,0.156389,0.0
5,0.146241,0.0
6,0.13683,0.0
7,0.131261,0.0
8,0.126762,0.0
9,0.12523,0.0
0,0.460789,0.0
0,0.510483,0.0
1,0.454968,0.0
0,0.600663,0.0
1,0.566173,0.0
2,0.55708,0.0
3,0.547444,0.0
4,0.533099,0.0
5,0.522217,0.0
6,0.517229,0.0
7,0.514834,0.0
8,0.513517,0.0
9,0.512756,0.0
0,0.531749,0.0
1,0.468807,0.0
2,0.460145,0.0
3,0.452156,0.0
4,0.441405,0.0
5,0.428613,0.0
6,0.42356,0.0
7,0.421221,0.0
8,0.420543,0.0
9,0.419996,0.0
0,0.416977,0.0
1,0.364219,0.0
2,0.327712,0.0
3,0.297244,0.0
4,0.274357,0.0
5,0.257996,0.0
6,0.246126,0.0
7,0.238396,0.0
8,0.233976,0.0
9,0.232419,0.0
0,0.593723,0.0
1,0.515993,0.0
2,0.466822,0.0
3,0.417374,0.0
4,0.371889,0.0
5,0.332911,0.0
6,0.299754,0.0
7,0.272369,0.0
8,0.249449,0.0
9,0.231977,0.0
10,0.216685,0.0
11,0.20495,0.0
12,0.1965,0.0
13,0.189057,0.0
14,0.183346,0.0
15,0.179011,0.0
16,0.17597,0.0
17,0.173308,0.0
18,0.172143,0.0
19,0.171484,0.0
0,0.656644,0.0
1,0.551872,0.0
2,0.523425,0.0
3,0.506031,0.0
4,0.494823,0.0
5,0.488783,0.0
6,0.483518,0.0
7,0.478889,0.0
8,0.473356,0.0
9,0.467593,0.0
10,0.461606,0.0
11,0.456141,0.0
12,0.450676,0.0
13,0.445009,0.0
14,0.439372,0.0
15,0.434534,0.0
16,0.428882,0.0
17,0.423553,0.0
18,0.417471,0.0
19,0.412268,0.0
20,0.407412,0.0
21,0.403375,0.0
22,0.399055,0.0
23,0.395003,0.0
24,0.39107,0.0
25,0.387405,0.0
26,0.38368,0.0
27,0.379994,0.0
28,0.376646,0.0
29,0.373108,0.0
30,0.369596,0.0
31,0.366333,0.0
32,0.363029,0.0
33,0.359896,0.0
34,0.356802,0.0
35,0.353722,0.0
36,0.35072,0.0
37,0.347882,0.0
38,0.345101,0.0
39,0.34228,0.0
40,0.33959,0.0
41,0.33705,0.0
42,0.334571,0.0
43,0.331947,0.0
44,0.329564,0.0
45,0.327203,0.0
46,0.324986,0.0
47,0.322792,0.0
48,0.320658,0.0
49,0.31864,0.0
50,0.316637,0.0
51,0.314703,0.0
52,0.312821,0.0
53,0.311024,0.0
54,0.309288,0.0
55,0.307638,0.0
56,0.306022,0.0
57,0.304501,0.0
58,0.303009,0.0
59,0.301569,0.0
60,0.300211,0.0
61,0.298904,0.0
62,0.297689,0.0
63,0.296501,0.0
64,0.295368,0.0
65,0.294293,0.0
66,0.293259,0.0
67,0.292386,0.0
68,0.291391,0.0
69,0.290546,0.0
70,0.289736,0.0
71,0.28892,0.0
72,0.288227,0.0
73,0.287548,0.0
74,0.286917,0.0
75,0.286317,0.0
76,0.285749,0.0
77,0.285273,0.0
78,0.284757,0.0
79,0.284325,0.0
80,0.28397,0.0
81,0.28363,0.0
82,0.2832,0.0
83,0.282938,0.0
84,0.282665,0.0
85,0.282499,0.0
86,0.282283,0.0
87,0.281986,0.0
88,0.281848,0.0
89,0.281661,0.0
90,0.281613,0.0
91,0.281469,0.0
92,0.281388,0.0
93,0.281332,0.0
94,0.281329,0.0
95,0.281202,0.0
96,0.281147,0.0
97,0.28112,0.0
98,0.281093,0.0
99,0.281081,0.0
0,0.341472,0.0
1,0.33312,0.0
2,0.330975,0.0
3,0.329509,0.0
4,0.329527,0.0
5,0.327768,0.0
6,0.326323,0.0
7,0.325219,0.0
8,0.324242,0.0
9,0.323256,0.0
10,0.322464,0.0
11,0.321733,0.0
12,0.321073,0.0
13,0.320598,0.0
14,0.320198,0.0
15,0.319896,0.0
16,0.319749,0.0
17,0.319609,0.0
18,0.319521,0.0
19,0.319508,0.0
0,0.326901,0.0
1,0.313044,0.0
2,0.305984,0.0
3,0.303119,0.0
4,0.301251,0.0
5,0.299937,0.0
6,0.298951,0.0
7,0.297985,0.0
8,0.296849,0.0
9,0.29541,0.0
10,0.293843,0.0
11,0.292391,0.0
12,0.290778,0.0
13,0.289193,0.0
14,0.287592,0.0
15,0.285929,0.0
16,0.284397,0.0
17,0.282602,0.0
18,0.280894,0.0
19,0.279139,0.0
20,0.277323,0.0
21,0.275454,0.0
22,0.273771,0.0
23,0.272022,0.0
24,0.270121,0.0
25,0.268224,0.0
26,0.266438,0.0
27,0.26443,0.0
28,0.262842,0.0
29,0.26067,0.0
30,0.258852,0.0
31,0.257034,0.0
32,0.255183,0.0
33,0.253326,0.0
34,0.251294,0.0
35,0.249503,0.0
36,0.247424,0.0
37,0.245641,0.0
38,0.243861,0.0
39,0.242254,0.0
40,0.240244,0.0
41,0.238518,0.0
42,0.236978,0.0
43,0.235159,0.0
44,0.233469,0.0
45,0.231931,0.0
46,0.230301,0.0
47,0.228694,0.0
48,0.227332,0.0
49,0.225661,0.0
50,0.224528,0.0
51,0.223115,0.0
52,0.221627,0.0
53,0.220353,0.0
54,0.219312,0.0
55,0.218094,0.0
56,0.216816,0.0
57,0.21565,0.0
58,0.214532,0.0
59,0.213459,0.0
60,0.212454,0.0
61,0.211649,0.0
62,0.210557,0.0
63,0.209664,0.0
64,0.208805,0.0
65,0.208029,0.0
66,0.207307,0.0
67,0.206541,0.0
68,0.205861,0.0
69,0.205338,0.0
70,0.204636,0.0
71,0.204049,0.0
72,0.203494,0.0
73,0.203049,0.0
74,0.202571,0.0
75,0.202165,0.0
76,0.201729,0.0
77,0.201343,0.0
78,0.201033,0.0
79,0.200668,0.0
80,0.200401,0.0
81,0.200133,0.0
82,0.199836,0.0
83,0.199676,0.0
84,0.199484,0.0
85,0.199286,0.0
86,0.199115,0.0
87,0.199017,0.0
88,0.198901,0.0
89,0.198834,0.0
90,0.198692,0.0
91,0.19861,0.0
92,0.198573,0.0
93,0.198476,0.0
94,0.198437,0.0
95,0.198394,0.0
96,0.198347,0.0
97,0.198319,0.0
98,0.198247,0.0
99,0.19823,0.0
