epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top1,train_top5,train_top10,val_top1,val_top5,val_top10
0,0.015384,0.005447,0.530599,0.505197,0.0,0.0,0.0,0.0,0.039773,0.150162,0.258929,0.0,0.0,0.0
1,0.000808,0.007857,0.689478,0.509893,0.0,0.0,0.0,0.0,0.194805,0.491883,0.673701,0.0,0.0,0.0
2,0.000639,0.011386,0.731944,0.521206,0.0,0.0,0.0,0.0,0.342532,0.688312,0.831169,0.0,0.0,0.0
3,0.000556,0.014057,0.761863,0.532241,0.0,0.0,0.0,0.0,0.521916,0.806818,0.903409,0.0,0.0,0.0
4,0.000477,0.016915,0.80122,0.54878,0.0,0.0,0.0,0.0,0.666396,0.885552,0.94237,0.0,0.0,0.0
5,0.000378,0.021118,0.830009,0.569031,0.0,0.0,0.0,0.0,0.815747,0.94237,0.969968,0.0,0.0,0.0
6,0.000289,0.027076,0.863303,0.602982,0.0,0.0,0.0,0.0,0.904221,0.969156,0.986201,0.0,0.0,0.0
7,0.000216,0.034867,0.88598,0.640221,0.0,0.0,0.0,0.0,0.953734,0.991071,0.99513,0.0,0.0,0.0
8,0.000134,0.044528,0.907056,0.684603,0.0,0.0,0.0,0.0,0.98539,0.995942,0.998377,0.0,0.0,0.0
9,8.5e-05,0.052909,0.918433,0.746009,0.0,0.0,0.0,0.0,0.99513,0.999188,0.999188,0.0,0.0,0.0
10,6.6e-05,0.058321,0.925525,0.791673,0.0,0.0,0.0,0.0,0.995942,0.998377,0.999188,0.0,0.0,0.0
11,6.8e-05,0.061912,0.926837,0.831078,0.0,0.0,0.0,0.0,0.997565,0.999188,0.999188,0.0,0.0,0.0
12,4.8e-05,0.069323,0.929235,0.869731,0.0,0.0,0.0,0.0,0.997565,0.998377,0.998377,0.0,0.0,0.0
13,3.2e-05,0.076744,0.929941,0.901392,0.0,0.0,0.0,0.0,0.999188,0.999188,0.999188,0.0,0.0,0.0
14,1.8e-05,0.082952,0.938138,0.918661,0.0,0.0,0.0,0.0,0.999188,1.0,1.0,0.0,0.0,0.0
