epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.032336,0.009466,0.54904,0.505954,0.0,0.0,0.0,0.0,0.000831,0.017442,0.163621,0.0,0.0,0.0
1,0.003326,0.010914,0.671474,0.50552,0.0,0.0,0.0,0.0,0.012458,0.092193,0.538206,0.0,0.0,0.0
2,0.00263,0.012588,0.720186,0.507326,0.0,0.0,0.0,0.0,0.022425,0.170266,0.700997,0.0,0.0,0.0
3,0.002284,0.015136,0.746347,0.510576,0.0,0.0,0.0,0.0,0.065615,0.292359,0.7799,0.0,0.0,0.0
4,0.002059,0.017687,0.766219,0.514695,0.0,0.0,0.0,0.0,0.126246,0.39701,0.871262,0.0,0.0,0.0
5,0.00185,0.02158,0.78916,0.521189,0.0,0.0,0.0,0.0,0.19103,0.512458,0.931894,0.0,0.0,0.0
6,0.001763,0.024644,0.801889,0.526677,0.0,0.0,0.0,0.0,0.274086,0.605482,0.951827,0.0,0.0,0.0
7,0.001406,0.033369,0.833221,0.542674,0.0,0.0,0.0,0.0,0.450997,0.767442,0.979236,0.0,0.0,0.0
8,0.001197,0.041247,0.855696,0.55802,0.0,0.0,0.0,0.0,0.55897,0.849668,0.984219,0.0,0.0,0.0
9,0.001069,0.048153,0.866175,0.570104,0.0,0.0,0.0,0.0,0.584718,0.88289,0.988372,0.0,0.0,0.0
10,0.000946,0.060337,0.873391,0.590012,0.0,0.0,0.0,0.0,0.64701,0.92691,0.98588,0.0,0.0,0.0
11,0.000825,0.069098,0.881982,0.603672,0.0,0.0,0.0,0.0,0.688538,0.947674,0.994186,0.0,0.0,0.0
12,0.00072,0.083606,0.885081,0.633775,0.0,0.0,0.0,0.0,0.746678,0.954319,0.990864,0.0,0.0,0.0
13,0.000722,0.096593,0.888988,0.657506,0.0,0.0,0.0,0.0,0.732558,0.950166,0.990033,0.0,0.0,0.0
14,0.000555,0.10729,0.892219,0.687569,0.0,0.0,0.0,0.0,0.799003,0.972591,0.993355,0.0,0.0,0.0
15,0.000462,0.121436,0.895545,0.72067,0.0,0.0,0.0,0.0,0.824751,0.979236,0.996678,0.0,0.0,0.0
16,0.000522,0.124846,0.897704,0.740329,0.0,0.0,0.0,0.0,0.828073,0.980897,0.991694,0.0,0.0,0.0
17,0.000395,0.137008,0.900859,0.765846,0.0,0.0,0.0,0.0,0.851329,0.989203,0.995847,0.0,0.0,0.0
18,0.000396,0.139725,0.902177,0.784515,0.0,0.0,0.0,0.0,0.860465,0.982558,0.995017,0.0,0.0,0.0
19,0.000378,0.142843,0.897108,0.792077,0.0,0.0,0.0,0.0,0.864618,0.987542,0.994186,0.0,0.0,0.0
20,0.000339,0.147877,0.898626,0.803446,0.0,0.0,0.0,0.0,0.872093,0.991694,0.998339,0.0,0.0,0.0
21,0.000252,0.153467,0.903565,0.82413,0.0,0.0,0.0,0.0,0.913621,0.996678,0.998339,0.0,0.0,0.0
22,0.000327,0.149689,0.898719,0.832415,0.0,0.0,0.0,0.0,0.899502,0.989203,0.994186,0.0,0.0,0.0
23,0.00052,0.149584,0.894658,0.814984,0.0,0.0,0.0,0.0,0.835548,0.978405,0.995847,0.0,0.0,0.0
24,0.000463,0.158617,0.893798,0.836092,0.0,0.0,0.0,0.0,0.846346,0.982558,0.995847,0.0,0.0,0.0
25,0.000376,0.165504,0.899472,0.845339,0.0,0.0,0.0,0.0,0.866279,0.989203,0.996678,0.0,0.0,0.0
26,0.000303,0.169205,0.8988,0.856545,0.0,0.0,0.0,0.0,0.88206,0.990864,0.998339,0.0,0.0,0.0
